text,category
microsoft get blogging bug software giant microsoft taking plunge world blogging launching test service allow people publish blog online journal called msn space microsoft trailing behind competitor like google aol already offer service make easy people set web journal blog short web log become popular way people talk life express opinion online msn space free anyone hotmail msn messenger account people able choose layout page upload image share photo album music playlist service supported banner simple tool people express said msns blake irving microsofts first foray blogging taken web phenomenon past year competitor like google already offer free service blogger site aol provides member journal accurate figure number blog existence hard come according blog analysis firm technorati socalled blogosphere doubled every five half month last month estimate number blog existence exceeded million although speculate less quarter regularly maintained,tech
qantas see profit fly record australian airline qantas posted record fiscal firsthalf profit thanks costcutting measure net profit six month ending december rose year earlier analyst expected figure closer qantas share fell almost however warned earnings growth would slow second half sale dip least indian ocean tsunami devastated many holiday destination qantas said tsunami affected travel pattern way bit surprised chief executive geoff dixon explained certainly affected japanese travel australia soon tsunami hit saw lessening booking australia higher fuel cost also expected eat earnings coming month dont much hedging benefit second half first said chief financial officer peter gregg qantas facing increased pressure rival lowcost carrier virgin blue australian government talk whether allow singapore airline fly australia one qantas key route even firm predicting fullyear earnings increase previous month analyst forecast fullyear profit rise around million million qantas bos dixon also said would reviewing group costcutting measure first six month fiscal year qantas made saving track top target full year last month company warned may transfer many job australia dixon quoted saying carrier could longer afford remain allaustralian,business
row police power csos police federation said strongly opposes giving community support officer csos power detain suspect minute power piloted six area extended police force england wale thursday federation said csos experience training safety equipment deal potentially confrontational situation government said move would help police build safe community police federation chairman jan berry said civilian officer act eye ear police placed potentially confrontational situation detaining someone clearly said csos use reasonable force detain suspect minute wait police officer arrive power granted chief constable local force berry said dramatically change original purpose visible presence combating lowlevel crime antisocial behaviour said power would mean paperwork less time street home office minister hazel blears defended move saying would give civilian officer little bit edge denied role changing said new power would take away street power bringing thing need patrolling said home office produced report csos describes encouraging blears said study show csos making real difference fight crime report also showed public difficulty distinguishing civilian officer proper officer shadow home secretary david davis said research appeared acknowledge csos discernible effect crime figure answer lot real police government want recruit people cant arrest anyone said bbc home affair correspondent danny shaw said research inconclusive csos england wale government intends street cost already power hand fine wide range offence serious organised crime police bill proposes extra power search suspect enforce licensing offence direct traffic deter begging,politics
paris promise raise welsh hope better six nation match saturday epic paris welsh revival continue way first grand slam since two question occupying wale supporter rugby fan whole scintillating display paris welsh legend mervyn davy member two three grand slamwinning side hailed one great performance past three decade martyn williams wale twotry scorer day called one surreal game ever played crestfallen france coach bernard laporte simply observed french half welsh half half red dragonhood transforming halftime deficit lead within five mesmerising minute second period passage play showed swelling selfbelief side prepared back spirit adventure final quarter told whole lot welsh side recovered battering first halfhour first stem tide halftime reverse resumption remarkable enough resisting seemingly unstoppable wave french pressure nailbiting final five minute wale showed physical attribute mental resolve international rugby top seven side beat given day great side win close contest consistent basis england suffered infamous six nation disappointment route world cup glory pain defeat forging bond ultimately led victory really mattered wale way remotely considered similar light sign player previously receiving end learning emerge right side scoreline ten duty saturday also involved wale trounced paris two year ago since threw shackle new zealand world cup wale rediscovered much made great rugby nation first place confidence squad building building since world cup young player becoming world class noted coach mike ruddock like michael owen gethin jenkins dwayne peel gavin henson certainly building strong case inclusion summer lion tour new zealand player like stephen jones martyn williams shane williams gareth thomas proving youngster upward curve jones superb manofthematch display observed happy camp ruddock thomas take much credit ensuring tribal regional division often scarred welsh rugby extend national squad joie vivre evident magical secondhalf spell paris also stem style play first wooed supporter world england half innate attacking exuberance wale produced championship would contemplating debris three consecutive defeat similarly wale learnt style alone win match forward power mental toughness good decisionmaking pressure equally important murrayfield wale last three visit hype principality overdrive player set task beating scotland visit ireland finish start thinking emulating hallowed player writing name welsh legend,sport
indy buy india paper irish publishing group independent news medium buying stake indian newspaper company jagran deal worth euro jagran publishes india topselling daily newspaper hindilanguage dainik jagran circulation year news deal came group announced result would meet market forecast company reported strong revenue growth across major market group advertising revenue yearonyear group said overall circulation revenue expected increase almost yearonyear helped positive impact compact newspaper edition ireland said proven important year independent news medium said chief executive sir anthony oreilly simple aim independent low cost producer every region operate confident show meaningful increase earnings meanwhile group made comment future independent newspaper despite recent speculation sir anthony held talk potential buyer stake daily publication consistently denied suggestion independent independent sunday sale buy understood recent success smaller edition independent pushed circulation prompted interest industry rival daily mail general trust tipped likely suitor lossmaking newspaper expected reach breakeven,business
police detain chinese milk boss chinese police detained three top executive milk firm yili report suggesting investigated embezzlement yili full name inner mongolia yili industrial confirmed chairman chief financial officer security representative custody company china thirdlargest milk producer hold emergency meeting debate issue yili spokesman said may move oust chairman zheng junhuai spokesman say three detained police official xinhua news agency said arrest linked alleged embezzlement yili recently subject intense medium speculation financial operation executive suspected wrongly using yuan company fund support management buyout back july yilis share suspended tuesday fallen monday company two main rival market leader mengniu dairy second place bright dairy dominate chinese milk market grown almost past five year analyst wondered scandal yili latest befall chinese company year could followed revelation corporate wrongdoing investor wonder yilis scandal one slew uncovered year isnt tip iceberg said chen huiqin analyst huatai security,business
tough schedule delay elliot show preview performance musical billy elliot delayed give child actor less arduous rehearsal schedule director stephen daldry made decision reschedule preview protect young star three boy rotate demanding role ballet dancer billy requires sing dance act show opening night may victoria palace theatre london remains unaffected change preview performance held april one ambitious project involved said daldry decision made push back preview performance order give company cast including child little extra time fully prepared possible added young billy elliots particular making professional stage debut west end benefit little extra time familiarise aspect production three boy playing billy james lomas george maguire liam mower major child part also rotated young actor demand show producer set stage school newcastle train potential star show child labour law also mean young actor work limited period week adult actor show include tim healy billy father haydn gwnne dance teacher wilkinson sir elton john composed music daldry directed successful film version billy elliot adapted lee hall script nominated oscar alongside julie walter played billy teacher,entertainment
parmalat founder offer apology founder former bos parmalat apologised investor lost money result italian dairy firm collapse calisto tanzi said would cooperate fully prosecutor investigating background one europe largest financial scandal parmalat placed bankruptcy protection euro black hole found account people lost money following firm collapse tanzi issued statement lawyer five hour questioning prosecutor parma january prosecutor seeking indictment tanzi others including several member family former parmalat chief financial officer fausto tonna alleged manipulation stock market price making misleading statement accountant italy financial watchdog two former parmalat auditor stand trial later month role firm collapse apologise suffered much damage result scheme make dream industrial project come true tanzis statement said duty collaborate fully prosecutor reconstruct cause parmalats sudden default responsible tanzi spent several month jail wake parmalats collapse kept house arrest last september parmalat run state appointed administrator enrico bondi launched lawsuit bank effort recover money bankrupt company shareholder alleged company aware true state parmalats finance continued lend money company company insist victim fraudulent bookkeeping parmalat declared insolvent emerged billion euro supposedly held offshore account fact exist firm demise sent shock wave italy portfolio topselling food brand position owner leading football club parma turned household name,business
ukraine steel selloff illegal controversial selloff ukrainian steel mill relative former president illegal court ruled mill krivorizhstal sold june well offer president viktor yushchenko elected december planning revisit many ukraine recent privatisation krivorizhstal one dozen firm say sold cheaply friend previous administration wednesday prime minister yulia tymoshenko said many firm could included list firm whose sale reviewed yushchenko previously said list would limited enterprise business massive corporation tiny shopfront sold since command economy built ukraine part soviet union dismantled analyst suggested government need avoid impression openended list preserve investor confidence thursday ruling district court perchesk overturned previous decision lower court permitting sale consortium auction mill created viktor pinchuk soninlaw formerpresident leonid kuchma rinat akhmetov country richest man next step supreme court annul sale altogether opening way krivorizhstal resold yushchenko suggested fair valuation could much one foreign bidder lost steel giant lnm told bbc news would interested renewed sale,business
voter flock blog award site voting way annual bloggies recognise best web blog online space people publish thought year nomination announced sunday traffic official site heavy website temporarily closed many visitor weblogs nominated category top regional blog bestkeptsecret blog blog huge year top dictionary naming blog word technorati blog search engine track six million blog say added daily blog created every second according research thinktank pew internet american life less total updated least every two month nikolai nolan run bloggies past five year told bbc news website surprised amount voter crowded site award always get lot traffic first year server bandwidth limit guess much need said many new finalist year added bloggies several entry reflected specific news event four nomination southeast asia earthquake tsunami blog pretty timely one said nolan big bloggies battle ultimate prize blog year nominated blog wideranging covering news quirky site interest fighting coveted award gawker fish need bicycle wonkette boing boing gothamist sign blog playing increasingly key part spreading news current affair southeast asia earthquake tsunami blog also nominated best overall category greenfairydotcom londonist hicksdesign plasticbag london underground tube blog nominee best british irish weblog included category best meme top replicating idea spread weblogs nomination include flickr web photo album let people upload tag share publish image blog podcasting also made appearance category increasingly popular idea make use rss really simple syndication audio technology let people easily make radio show distribute automatically onto portable device many done already textbased blog almost like audio blog three new category added list year including best food best entertainment best writing weblog one category scrapped though best music blog winner fifth annual bloggies chosen public public voting close february winner announced sometime march,tech
new rule tackle sham wedding new rule marriage foreign national living coming force tuesday noneu citizen need home office approval marry home office say new rule aimed reducing number sham marriage estimated year immigrant group joint council welfare immigrant jcwi say rule breach human right law may mount legal challenge change unveiled last year immigration minister browne said aim avoid unnecessary disruption genuine marriage providing firm control prevent abuse previous regulation anybody wishing get married produce evidence resident country week give day notice wedding local register office tuesday noneu national apart citizen switzerland liechtenstein iceland norway intending wed must either obtain visa allowing get married enter country apply home office certificate marriage approval get certificate costing applicant send proof legal right without settled status asylum seeker awaiting decision application right marry necessary documentation subject immigration control wishing get married england wale must register intention marry one speciallydesignated register office however marry register office church choice rhian beynon jcwi said new rule proportionate discriminatory rule mean case home secretary going marriage registrar last resort currently taking legal opinion well looking people whose right marry breached well looking taking case human right court beynon said new rule also called question parliamentary joint committee human right report published last july crossparty committee stated significant risk new procedure incompatible right marry introduced restriction disproportionate committee believed new law might incompatible human right act ground religion belief nationality report added last year immigration service operation marriage convenience stepped resulting growing number conviction january people took part sham marriage network based leicester jailed total year last november samuel amoah belgian national set two sham wedding couple wanted remain jailed three year several case currently going court role registrar asylum immigration act obliged report suspected sham marriage home office key many prosecution registrar spokesman mark rimmer said welcomed new marriage regulation believed would significant deterrent effectively remove blatant case certainly illegals country quite longer getting married rimmer said rimmer service director registration marriage brent council northwest london said consider new law infringement civil liberty may seen far draconian certainly still difficult marry marry example holland germany france think proportionate response government large problem rimmer said,politics
blunkett unveils policing plan people could given mobile phone number local bobby overhaul policing england wale unveiled david blunkett plan include dedicated policing team neighbourhood point compulsory customer charter home secretary said target would put place ensure public got good response police local people would also able trigger action specific problem felt nothing done local councillor would show certain condition met invoking power police could refuse request complaint frivolous would cause annoyance would pose heavy burden resource blunkett said new three digit number would created nonemergency phone call police best performing police service would get cash extra freedom said would shirk stepping public failed home secretary power suspend sack chief constable reviewed blunketts battle humberside chief david westwood intelligence failure soham murderer ian huntley opposition party also want local policing tackle nuisance behaviour crime accuse minister tying police paperwork tory spokesman david davis said proposal little taxpayerfunded exercise ahead general election predicted next may police force already buried existing government initiative little latest plan reassure said davis earlier lib dem home affair spokesman mark oaten said government right want increase link local people police measure work theyre matched cut amount paperwork investment modern equipment keep police street delivering statement blunkett joined tony blair welling school south east london heart community policing initiative blunkett said wanted back time young expected police part community community part policing people joined together partnership making work prime minister said lawabiding citizen charge community minority want cause trouble blunkett already boast producing record police number also started recruit community support officer csos new plan would allow police force give power detain suspect extra promised tuesday new csos recruited rather next year within two year every force expected keep copper contract kind service public expect mori poll summer suggested policing unlike health education one major public service people less satisfied contact plan also include idea allowing people join police force different level rather traditional way making everybody spend specific amount time constable promoted also specific exercise encourage black asian people join police senior rank,politics
butler launch attack blair former civil service chief lord butler criticised way tony blair government operates accusing obsessed headline also attacked way iraq war sold public important warning strength intelligence left tory leader michael howard said lord butler given damaging testimony could remember downing street said blair judged result style lord butler said blair bypassed cabinet relied instead small informal group adviser help make decision prime minister official spokesman said cabinet still used achieve consensus important issue added modern government take every decision cabinet possible lord butler said government much freedom bring bad bill whatever like relied much advice political appointee former cabinet secretary said interview spectator magazine would critical present government much emphasis selling much central control little would describe reasoned deliberation brings argument howard described lord butler intervention important someone insider heart blair government certainly damaging testimony ever remember someone eminent position lord butler report earlier year iraq intelligence said government september weapon dossier make clear intelligence claim saddam hussein stockpile chemical biological weapon thin reason would weakened minister case war lord butler said spectator interview conducted magazine editor conservative boris johnson said civil servant give material minister say conclusion weve drawn weve got tell evidence weve got pretty thin similarly giving something united nation country warn asked thought warning lord butler said one got remember purpose dossier purpose dossier persuade british government thought iraq serious threat asked whether thought country wellgoverned whole replied well think country suffer badly parliament sufficient control executive grave flaw breaking away party whip executive much free bring huge number extremely bad bill huge amount regulation whatever like whatever like get best headline tomorrow part bad government country lord butler assessment backed predecessor cabinet secretary lord armstrong lord armstrong told bbc two newsnight agree doesnt appear sort informed collective political judgement brought bear decisionmaking affected decision entitled expect liberal democrat deputy leader menzies campbell said thought lord butler comment well justified blair style leadership corrosive whole system government labour former minister jack cunningham accused lord butler basing comment first eight month incoming labour administration cabinet secretary cunningham told bbc radio today programme taken together robin butler comment partial inaccurate taken anything politically biased labour government,politics
tobacco giant hail court ruling tobacco company welcomed appeal court decision reject government claim alleged deceit smoking danger tobacco stock rose sharply wall street decision court washington found case filed clinton administration could brought federal antiracketeering law antismoking group urge government fight justice department said appeal among accused altria group reynolds tobacco lorillard tobacco liggett group brown williamson delighted decision sent reynolds share altria share charles blixt executive vicepresident reynolds tobacco said ruling dramatically transforms government lawsuit altria group said statement government must prove company engaged fraudulent behaviour past likely future government claimed tobacco firm manipulated nicotine level increase addiction targeted teenager multibillion dollar advertising campaign lied danger smoking ignored research contrary prosecutor wanted cigarette firm disgorge profit accumulated past year impose tougher rule marketing product brought case racketeering law passed deny mafia gang profit crime tobacco company denied illegally conspired promote smoking defraud public also said already met many government demand landmark settlement reached state threejudge panel district columbia court appeal ruled friday government could sue firm antiracketeering law judge david sentelle ruling said law aimed putting end illegal conduct going forward hold language law comprehensive remedial scheme law preclude disgorgement possible remedy case wrote justice department refused say would appeal saying today received ruling reviewing spokeswoman said friday william corr campaign tobaccofree kid urged government continue pressing case today ruling excuse administration seek weak settlement let tobacco industry hook said,business
